* T-Spice 13.00 Simulation	Tue Apr 24 17:39:19 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_5 is attached to only one device (MNMOS_3)
* Warning : Node N_7 is attached to only one device (MNMOS_4)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 4                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 8                    Boundary nodes - 6       
*         Total nodes - 14      

* *** 4 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   2e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 4.019586e-008  0.0000e+000  9.7934e-001  4.0207e+000  4.0207e+000  5.0000e+000
 4.020285e-008  0.0000e+000  1.0143e+000  3.9857e+000  3.9857e+000  5.0000e+000
 4.020972e-008  0.0000e+000  1.0486e+000  3.9514e+000  3.9514e+000  5.0000e+000
 4.0213152e-008  0.0000e+000  1.0658e+000  3.9342e+000  3.9342e+000  5.0000e+000
 4.022386e-008  0.0000e+000  1.1193e+000  3.8807e+000  3.8807e+000  5.0000e+000
 4.025112e-008  0.0000e+000  1.2556e+000  3.7444e+000  3.7444e+000  5.0000e+000
 4.029550e-008  0.0000e+000  1.4775e+000  3.5225e+000  3.5225e+000  5.0000e+000
 4.035213e-008  0.0000e+000  1.7607e+000  3.2393e+000  3.2393e+000  5.0000e+000
 4.041661e-008  0.0000e+000  2.0831e+000  2.9169e+000  2.9169e+000  5.0000e+000
 4.049267e-008  0.0000e+000  2.4634e+000  2.5366e+000  2.5366e+000  5.0000e+000
 4.058371e-008  0.0000e+000  2.9186e+000  2.0814e+000  2.0814e+000  5.0000e+000
 4.069178e-008  0.0000e+000  3.4589e+000  1.5411e+000  1.5411e+000  5.0000e+000
 4.079844e-008  0.0000e+000  3.9922e+000  1.0078e+000  1.0078e+000  5.0000e+000
 4.090510e-008  0.0000e+000  4.5255e+000  4.7445e-001  4.7445e-001  5.0000e+000
 4.099289e-008  0.0000e+000  4.9645e+000  3.5528e-002  3.5528e-002  5.0000e+000
 4.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.102265e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.124923e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.136252e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.193746e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.393746e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.593746e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
