* T-Spice 13.00 Simulation	Tue Apr 24 13:54:01 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\Half_Adder\Half_Adder.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 10                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 6       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 4       
*   Independent nodes - 9                    Boundary nodes - 4       
*         Total nodes - 13      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>    v(Sum)<V>  v(Carry)<V>
 4.061321e-008  1.9339e+000  1.9339e+000  2.5072e+000  1.1808e+000
 4.068250e-008  1.5875e+000  1.5875e+000  1.5781e+000  1.1199e+000
 4.072199e-008  1.3900e+000  1.3900e+000  1.3482e+000  1.0904e+000
 4.077219e-008  1.1390e+000  1.1390e+000  1.2026e+000  1.0662e+000
 4.083241e-008  8.3791e-001  8.3791e-001  1.0901e+000  1.0437e+000
 4.089838e-008  5.0809e-001  5.0809e-001  1.0423e+000  1.0339e+000
 4.096741e-008  1.6292e-001  1.6292e-001  1.0306e+000  1.0309e+000
 4.100000e-008  0.0000e+000  0.0000e+000  1.0325e+000  1.0321e+000
 4.104851e-008  0.0000e+000  0.0000e+000  1.0313e+000  1.0309e+000
 4.153371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 4.353371e-008  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 4.553371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 4.753371e-008  0.0000e+000  0.0000e+000  1.0308e+000  1.0308e+000
 4.953371e-008  0.0000e+000  0.0000e+000  1.0309e+000  1.0308e+000
 5.000000e-008  0.0000e+000  8.2718e-015  1.0308e+000  1.0308e+000
 5.001500e-008  0.0000e+000  7.5016e-002  1.0308e+000  1.0308e+000
 5.010500e-008  0.0000e+000  5.2502e-001  1.0322e+000  1.0308e+000
 5.015000e-008  0.0000e+000  7.5002e-001  1.0428e+000  1.0308e+000
 5.020702e-008  0.0000e+000  1.0351e+000  1.0789e+000  1.0308e+000
 5.027120e-008  0.0000e+000  1.3560e+000  1.1453e+000  1.0308e+000
 5.033930e-008  0.0000e+000  1.6965e+000  1.2632e+000  1.0308e+000
 5.041574e-008  0.0000e+000  2.0787e+000  1.4904e+000  1.0308e+000
 5.050538e-008  0.0000e+000  2.5269e+000  2.0700e+000  1.0308e+000
 5.058144e-008  0.0000e+000  2.9072e+000  2.7312e+000  1.0308e+000
 5.065806e-008  0.0000e+000  3.2903e+000  3.1017e+000  1.0308e+000
 5.075066e-008  0.0000e+000  3.7533e+000  3.4195e+000  1.0308e+000
 5.087121e-008  0.0000e+000  4.3561e+000  3.6665e+000  1.0308e+000
 5.100000e-008  0.0000e+000  5.0000e+000  3.8594e+000  1.0308e+000
 5.118046e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 5.298507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 5.498507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 5.698507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 5.898507e-008  0.0000e+000  5.0000e+000  3.8599e+000  1.0308e+000
 6.000000e-008  1.6544e-014  5.0000e+000  3.8599e+000  1.0308e+000
 6.001429e-008  7.1455e-002  4.9285e+000  3.8472e+000  1.0303e+000
 6.010429e-008  5.2145e-001  4.4785e+000  3.7205e+000  1.0326e+000
 6.0109657e-008  5.4829e-001  4.4517e+000  3.7123e+000  1.0331e+000
 6.012934e-008  6.4674e-001  4.3533e+000  3.6745e+000  1.0375e+000
 6.015415e-008  7.7077e-001  4.2292e+000  3.6172e+000  1.0458e+000
 6.016607e-008  8.3038e-001  4.1696e+000  3.6259e+000  1.0507e+000
 6.017801e-008  8.9007e-001  4.1099e+000  3.6396e+000  1.0562e+000
 6.020738e-008  1.0369e+000  3.9631e+000  3.5798e+000  1.0723e+000
 6.025344e-008  1.2672e+000  3.7328e+000  3.4764e+000  1.1040e+000
 6.031113e-008  1.5557e+000  3.4443e+000  3.2856e+000  1.1532e+000
 6.037850e-008  1.8925e+000  3.1075e+000  3.0053e+000  1.2208e+000
 6.045880e-008  2.2940e+000  2.7060e+000  2.6266e+000  1.3046e+000
 6.054636e-008  2.7318e+000  2.2682e+000  2.5830e+000  1.3674e+000
 6.062509e-008  3.1255e+000  1.8745e+000  2.9418e+000  1.3332e+000
 6.069612e-008  3.4806e+000  1.5194e+000  3.2668e+000  1.2028e+000
 6.075785e-008  3.7893e+000  1.2107e+000  3.4694e+000  1.1163e+000
 6.082192e-008  4.1096e+000  8.9038e-001  3.6192e+000  1.0671e+000
 6.088995e-008  4.4498e+000  5.5021e-001  3.7124e+000  1.0360e+000
 6.096006e-008  4.8003e+000  1.9966e-001  3.8056e+000  1.0321e+000
 6.099512e-008  4.9756e+000  2.4383e-002  3.8499e+000  1.0312e+000
 6.1000000e-008  5.0000e+000  0.0000e+000  3.8554e+000  1.0315e+000
 6.101877e-008  5.0000e+000  0.0000e+000  3.8599e+000  1.0314e+000
 6.120647e-008  5.0000e+000  0.0000e+000  3.8600e+000  1.0309e+000
 6.308352e-008  5.0000e+000  0.0000e+000  3.8599e+000  1.0308e+000
 6.508352e-008  5.0000e+000  0.0000e+000  3.8599e+000  1.0309e+000
 6.708352e-008  5.0000e+000  0.0000e+000  3.8599e+000  1.0308e+000
 6.908352e-008  5.0000e+000  0.0000e+000  3.8599e+000  1.0309e+000
 7.000000e-008  5.0000e+000  1.6544e-014  3.8599e+000  1.0308e+000
 7.001499e-008  5.0000e+000  7.4975e-002  3.8605e+000  1.0308e+000
 7.010499e-008  5.0000e+000  5.2498e-001  3.8596e+000  1.0318e+000
 7.014999e-008  5.0000e+000  7.4998e-001  3.8706e+000  1.0429e+000
 7.020618e-008  5.0000e+000  1.0309e+000  3.8569e+000  1.0782e+000
 7.026989e-008  5.0000e+000  1.3495e+000  3.7730e+000  1.1434e+000
 7.033774e-008  5.0000e+000  1.6887e+000  3.6028e+000  1.2599e+000
 7.041386e-008  5.0000e+000  2.0693e+000  3.1932e+000  1.4827e+000
 7.050311e-008  5.0000e+000  2.5156e+000  1.9149e+000  2.0522e+000
 7.054846e-008  5.0000e+000  2.7423e+000  1.5210e+000  2.4796e+000
 7.059875e-008  5.0000e+000  2.9938e+000  1.3514e+000  2.8189e+000
 7.066315e-008  5.0000e+000  3.3158e+000  1.2570e+000  3.1339e+000
 7.075094e-008  5.0000e+000  3.7547e+000  1.1974e+000  3.4123e+000
 7.086668e-008  5.0000e+000  4.3334e+000  1.1519e+000  3.6649e+000
 7.100000e-008  5.0000e+000  5.0000e+000  1.1280e+000  3.8545e+000
 7.118361e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8599e+000
 7.301972e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8599e+000
 7.501972e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8599e+000
 7.701972e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8599e+000
 7.901972e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8599e+000
 8.000000e-008  5.0000e+000  5.0000e+000  1.1258e+000  3.8600e+000
 8.025000e-008  3.7500e+000  3.7500e+000  1.2513e+000  2.7409e+000
 8.052163e-008  2.3918e+000  2.3918e+000  2.7910e+000  1.3146e+000
 8.061321e-008  1.9339e+000  1.9339e+000  2.5072e+000  1.1808e+000
