* T-Spice 13.00 Simulation	Tue Apr 24 17:07:39 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_5 is attached to only one device (MNMOS_3)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 3                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 6                    Boundary nodes - 5       
*         Total nodes - 11      

* *** 3 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vout)<V>
 4.003558e-008  1.7791e-001  4.8221e+000  4.8221e+000  5.0031e+000
 4.007234e-008  3.6174e-001  4.6383e+000  4.6383e+000  5.0033e+000
 4.009073e-008  4.5366e-001  4.5463e+000  4.5463e+000  4.9984e+000
 4.012717e-008  6.3588e-001  4.3641e+000  4.3641e+000  4.9667e+000
 4.017848e-008  8.9245e-001  4.1076e+000  4.1076e+000  4.8849e+000
 4.023937e-008  1.1969e+000  3.8031e+000  3.8031e+000  4.7550e+000
 4.030570e-008  1.5285e+000  3.4715e+000  3.4715e+000  4.5987e+000
 4.037492e-008  1.8746e+000  3.1254e+000  3.1254e+000  4.4455e+000
 4.044896e-008  2.2448e+000  2.7552e+000  2.7552e+000  4.3235e+000
 4.053411e-008  2.6706e+000  2.3294e+000  2.3294e+000  4.2876e+000
 4.061654e-008  3.0827e+000  1.9173e+000  1.9173e+000  4.4601e+000
 4.068893e-008  3.4447e+000  1.5553e+000  1.5553e+000  4.6812e+000
 4.076060e-008  3.8030e+000  1.1970e+000  1.1970e+000  4.8427e+000
 4.083568e-008  4.1784e+000  8.2158e-001  8.2158e-001  4.9504e+000
 4.090933e-008  4.5467e+000  4.5331e-001  4.5331e-001  4.9921e+000
 4.098228e-008  4.9114e+000  8.8576e-002  8.8576e-002  4.9978e+000
 4.100000e-008  5.0000e+000  0.0000e+000  0.0000e+000  4.9968e+000
 4.103577e-008  5.0000e+000  0.0000e+000  0.0000e+000  4.9981e+000
 4.139353e-008  5.0000e+000  0.0000e+000  0.0000e+000  4.9998e+000
 4.339353e-008  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.539353e-008  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.739353e-008  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 4.939353e-008  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 5.000000e-008  5.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 5.025000e-008  5.0000e+000  0.0000e+000  1.2500e+000  5.0000e+000
 5.034000e-008  5.0000e+000  0.0000e+000  1.7000e+000  5.0000e+000
 5.044710e-008  5.0000e+000  0.0000e+000  2.2355e+000  5.0000e+000
 5.055713e-008  5.0000e+000  0.0000e+000  2.7857e+000  5.0000e+000
 5.067451e-008  5.0000e+000  0.0000e+000  3.3726e+000  5.0000e+000
 5.077141e-008  5.0000e+000  0.0000e+000  3.8571e+000  5.0000e+000
 5.086831e-008  5.0000e+000  0.0000e+000  4.3416e+000  5.0000e+000
 5.096522e-008  5.0000e+000  0.0000e+000  4.8261e+000  5.0000e+000
 5.100000e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.105012e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.155140e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.355140e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.555140e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.755140e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 5.955140e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 6.000000e-008  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 6.001356e-008  5.0000e+000  6.7844e-002  4.9322e+000  5.0000e+000
 6.010356e-008  5.0000e+000  5.1784e-001  4.4822e+000  4.9999e+000
 6.019356e-008  5.0000e+000  9.6784e-001  4.0322e+000  4.8769e+000
 6.023856e-008  5.0000e+000  1.1928e+000  3.8072e+000  4.7486e+000
 6.029558e-008  5.0000e+000  1.4779e+000  3.5221e+000  4.5809e+000
 6.035977e-008  5.0000e+000  1.7989e+000  3.2011e+000  4.3582e+000
 6.042999e-008  5.0000e+000  2.1500e+000  2.8500e+000  4.1404e+000
 6.046509e-008  5.0000e+000  2.3255e+000  2.6745e+000  4.0357e+000
 6.048265e-008  5.0000e+000  2.4133e+000  2.5867e+000  3.9961e+000
 6.052617e-008  5.0000e+000  2.6309e+000  2.3691e+000  3.9132e+000
 6.059241e-008  5.0000e+000  2.9621e+000  2.0379e+000  3.9028e+000
 6.066324e-008  5.0000e+000  3.3162e+000  1.6838e+000  4.1916e+000
 6.072342e-008  5.0000e+000  3.6171e+000  1.3829e+000  4.5172e+000
 6.078229e-008  5.0000e+000  3.9115e+000  1.0885e+000  4.7479e+000
 6.084748e-008  5.0000e+000  4.2374e+000  7.6255e-001  4.9223e+000
 6.091612e-008  5.0000e+000  4.5806e+000  4.1940e-001  4.9887e+000
 6.098653e-008  5.0000e+000  4.9327e+000  6.7310e-002  4.9984e+000
 6.100000e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.9996e+000
 6.103118e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.9986e+000
 6.134305e-008  5.0000e+000  5.0000e+000  0.0000e+000  4.9997e+000
 6.334305e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 6.534305e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 6.734305e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 6.934305e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 7.000000e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 7.001507e-008  5.0000e+000  5.0000e+000  7.5352e-002  5.0000e+000
 7.010507e-008  5.0000e+000  5.0000e+000  5.2535e-001  5.0000e+000
 7.015007e-008  5.0000e+000  5.0000e+000  7.5035e-001  4.9750e+000
 7.017257e-008  5.0000e+000  5.0000e+000  8.6285e-001  4.9161e+000
 7.021288e-008  5.0000e+000  5.0000e+000  1.0644e+000  4.7977e+000
 7.026686e-008  5.0000e+000  5.0000e+000  1.3343e+000  4.5816e+000
 7.032930e-008  5.0000e+000  5.0000e+000  1.6465e+000  4.2484e+000
 7.040142e-008  5.0000e+000  5.0000e+000  2.0071e+000  3.7663e+000
 7.042168e-008  5.0000e+000  5.0000e+000  2.1084e+000  3.6156e+000
 7.043181e-008  5.0000e+000  5.0000e+000  2.1591e+000  3.5374e+000
 7.045521e-008  5.0000e+000  5.0000e+000  2.2761e+000  3.3592e+000
 7.049081e-008  5.0000e+000  5.0000e+000  2.4541e+000  3.1720e+000
 7.054126e-008  5.0000e+000  5.0000e+000  2.7063e+000  3.0027e+000
 7.061167e-008  5.0000e+000  5.0000e+000  3.0584e+000  2.8397e+000
 7.069635e-008  5.0000e+000  5.0000e+000  3.4818e+000  2.7053e+000
 7.078071e-008  5.0000e+000  5.0000e+000  3.9036e+000  2.6055e+000
 7.086506e-008  5.0000e+000  5.0000e+000  4.3253e+000  2.5291e+000
 7.094942e-008  5.0000e+000  5.0000e+000  4.7471e+000  2.4663e+000
 7.100000e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4346e+000
 7.106044e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4331e+000
 7.166494e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4333e+000
 7.196719e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4333e+000
 7.360903e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4335e+000
 7.560903e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4336e+000
 7.760903e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4336e+000
 7.960903e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4337e+000
 8.000000e-008  5.0000e+000  5.0000e+000  5.0000e+000  2.4337e+000
 8.025000e-008  3.7500e+000  3.7500e+000  3.7500e+000  3.2264e+000
 8.034000e-008  3.3000e+000  3.3000e+000  3.3000e+000  3.6611e+000
 8.043000e-008  2.8500e+000  2.8500e+000  2.8500e+000  4.0397e+000
 8.052000e-008  2.4000e+000  2.4000e+000  2.4000e+000  4.3561e+000
 8.061000e-008  1.9500e+000  1.9500e+000  1.9500e+000  4.6108e+000
 8.070000e-008  1.5000e+000  1.5000e+000  1.5000e+000  4.8006e+000
 8.079000e-008  1.0500e+000  1.0500e+000  1.0500e+000  4.9265e+000
 8.088000e-008  6.0000e-001  6.0000e-001  6.0000e-001  4.9868e+000
 8.096063e-008  1.9681e-001  1.9681e-001  1.9681e-001  4.9966e+000
 8.100000e-008  0.0000e+000  0.0000e+000  0.0000e+000  4.9965e+000
 8.105332e-008  0.0000e+000  0.0000e+000  0.0000e+000  4.9998e+000
 8.158660e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 8.358660e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 8.558660e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 8.758660e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 8.958660e-008  0.0000e+000  0.0000e+000  0.0000e+000  5.0000e+000
 9.000000e-008  0.0000e+000  0.0000e+000  8.2718e-015  5.0000e+000
 9.025000e-008  0.0000e+000  0.0000e+000  1.2500e+000  5.0000e+000
 9.037500e-008  0.0000e+000  0.0000e+000  1.8750e+000  5.0000e+000
 9.050000e-008  0.0000e+000  0.0000e+000  2.5000e+000  5.0000e+000
 9.062571e-008  0.0000e+000  0.0000e+000  3.1286e+000  5.0000e+000
 9.073278e-008  0.0000e+000  0.0000e+000  3.6639e+000  5.0000e+000
 9.083144e-008  0.0000e+000  0.0000e+000  4.1572e+000  5.0000e+000
 9.093010e-008  0.0000e+000  0.0000e+000  4.6505e+000  5.0000e+000
 9.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.107106e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.178173e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.378173e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.578173e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.778173e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 9.978173e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000
 1.000000e-007  0.0000e+000  4.9631e-014  5.0000e+000  5.0000e+000
*

* Parsing                      0.00 seconds
* Setup                        0.01 seconds
* DC operating point           0.00 seconds
* Transient Analysis           0.05 seconds
* Overhead                     1.78 seconds
* -----------------------------------------
* Total                        1.84 seconds

* Simulation completed	with  3 Warnings

* End of T-Spice output file
