* T-Spice 13.00 Simulation	Tue May 14 22:30:03 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 413               MOSFET geometries - 12      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 91      
*   Independent nodes - 1854                 Boundary nodes - 4       
*         Total nodes - 1858    


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-011   1e-008
TRANSIENT ANALYSIS
Time<s>        p(VPower)<W>
 2.963186e-009  1.6311e-003
 2.983186e-009  1.9583e-003
 3.003186e-009  1.7557e-003
 3.023186e-009  2.0549e-003
 3.043186e-009  1.9704e-003
 3.063186e-009  2.0889e-003
 3.083186e-009  1.6417e-003
 3.103186e-009  2.2581e-003
 3.123186e-009  2.5878e-003
 3.143186e-009  3.7723e-003
 3.163186e-009  5.1672e-003
 3.178961e-009  7.6639e-003
 3.186848e-009  8.0729e-003
 3.194069e-009  7.8642e-003
 3.200267e-009  6.7333e-003
 3.205577e-009  6.2316e-003
 3.211491e-009  5.1576e-003
 3.217118e-009  4.3608e-003
 3.222439e-009  3.4242e-003
 3.229129e-009  3.3593e-003
 3.244145e-009  2.8777e-003
 3.264145e-009  3.1747e-003
 3.284145e-009  2.9231e-003
 3.304145e-009  3.3624e-003
 3.324145e-009  3.0667e-003
 3.344145e-009  3.0591e-003
 3.364145e-009  2.8312e-003
 3.384145e-009  3.1291e-003
 3.404145e-009  2.9275e-003
 3.424145e-009  3.3270e-003
 3.444145e-009  3.0783e-003
 3.464145e-009  3.0328e-003
 3.484145e-009  2.8463e-003
 3.504145e-009  3.1098e-003
 3.524145e-009  2.9502e-003
 3.544145e-009  3.2993e-003
 3.564145e-009  3.0721e-003
 3.584145e-009  2.9998e-003
 3.604145e-009  3.0721e-003
 3.624145e-009  3.7986e-003
 3.644145e-009  4.4264e-003
 3.664145e-009  6.1221e-003
 3.683498e-009  8.3938e-003
 3.693174e-009  9.5771e-003
 3.701410e-009  8.4169e-003
 3.708342e-009  7.4887e-003
 3.714213e-009  7.3847e-003
 3.720389e-009  6.5351e-003
 3.726381e-009  4.4169e-003
 3.732010e-009  2.6238e-003
 3.740947e-009  2.1619e-003
 3.758585e-009  1.8557e-003
 3.778585e-009  1.9239e-003
 3.798585e-009  1.9347e-003
